id,tier,tier_meaning,title,url,note,used_for
27,D,Vendor marketing or weak signal,DataCenterUPS.com: Lithium-ion vs VRLA for data center UPS,https://datacenterups.com/lithium-ion-vs-vrla-ups-batteries-data-center/,,"UPS batteries: VRLA 3–5 yr real-world, Li-ion 8–12 yr; lithium service concentrated with OEMs"
28,C,Industry reporting,Up To Code: Clean agent fire suppression checklist for data centers,https://www.uptocode.build/resources/clean-agent-checklist-data-center,,NFPA 2001 clean-agent ITM tiers; NFPA 855 review for lithium battery rooms
29,D,Vendor marketing or weak signal,"CT Acquisitions: Private equity in fire and life safety, 2026",https://ctacquisitions.com/guides/private-equity-fire-life-safety-2026/,,Fire & life-safety consolidation: Pye-Barker 57 deals in 2025; ~125 sector deals (+66.7%); 5–9x multiples
30,D,Vendor marketing or weak signal,GF: Direct-to-chip liquid cooling,https://www.gfps.com/com/en/applications/direct-liquid-cooling.html,,Liquid-coolant lab testing every 2–6 months (up to 12 for dielectric); CDU filter maintenance
31,D,Vendor marketing or weak signal,Dober: Direct-to-chip cooling,https://www.dober.com/direct-to-chip-cooling,,"Coolant pH drift, inhibitor depletion, microbial growth; facilities teams need upskilling"
32,C,Industry reporting,Electronics Cooling: Coolant health as a reliability variable in direct-to-chip cooling,https://www.electronics-cooling.com/2026/08/coolant-health-as-a-reliability-variable-in-direct-to-chip-data-center-cooling/,,Dow Coolant Care Network (fluid supplier service networks)
33,D,Vendor marketing or weak signal,Chem-Aqua: Water treatment areas to improve data center operations,https://www.chemaqua.com/en-us/blog/2026/05/11/8-water-treatment-areas-to-improve-data-center-operations/,,Cooling tower disinfection and Legionella risk management
34,D,Vendor marketing or weak signal,Dataintelo: Water treatment chemicals for data centers,https://dataintelo.com/report/water-treatment-chemicals-for-data-centers-market,,Chemical suppliers shifting to full-service water management contracts
35,D,Vendor marketing or weak signal,HydropureWater: Data center water reuse trends 2026,https://hydropurewater.com/blog/6033-data-center-water-reuse-trends-2026-engineering-costs-standards.html,,Shift toward closed-loop and liquid cooling with less evaporation
36,D,Vendor marketing or weak signal,IT Cleaning Ltd: ISO 14644 Class 8 data centre cleaning standard,https://www.itcleaning.co.uk/data-centre-cleaning-standard-iso-14644-1-class-8/,,ISO 14644-1 Class 8 for data halls; claim that OEMs require it for warranty (unverified)
37,D,Vendor marketing or weak signal,SET3: Data center and cleanroom cleaning,https://set3.com/solutions/cleaning/,,Post-construction and critical-environment cleaning services
38,C,Industry reporting,JLL: Data center services (SKAE Power Solutions acquisition),https://www.jll.com/en-us/industries/data-centers,,JLL acquiring SKAE Power Solutions
39,C,Industry reporting,Umbrex: How the facility management services industry works,https://umbrex.com/resources/how-industries-work/professional-business-services/how-the-facility-management-services-industry-works/,,Regional firms subcontracting to large FM companies
40,D,Vendor marketing or weak signal,STS Electronic Recycling: 2026 data center ITAD trends,https://www.stselectronicrecyclinginc.com/data-center-itad-2026,,"ITAD: $12.95B 2026 decommissioning services (vendor-cited); 18–36 month GPU life claim; R2v3, NAID AAA, NIST 800-88"
41,C,Industry reporting,Florida Data Centers: Hillsborough County risk profile,https://floridadatacenters.org/counties/hillsborough,,SWFWMD consumptive-use permit for a Hillsborough County hyperscale site
42,D,Vendor marketing or weak signal,Alliance Chemical: Sodium hypochlorite for cooling towers and data centers,https://alliancechemical.com/blogs/articles/sodium-hypochlorite-cooling-tower-data-center,,ASHRAE 188 water-management programs
43,C,Industry reporting,Invrecovery: Data center decommissioning in 2026,https://invrecovery.org/data-center-decommissioning-in-2026-navigating-ai-infrastructure-upgrades/,,Export-control screening for high-performance hardware at disposition
44,C,Industry reporting,The Real Deal: Who are the developers behind Florida's hyperscale data centers?,https://therealdeal.com/miami/2026/08/10/meet-the-developers-behind-floridas-hyperscale-data-centers/,,Fort Meade: two lawsuits and a recall
